Date,Close,Sentiment_Free_Malaysia_Today,Sentiment_The_Star,Sentiment_Yahoo_Finance,Sentiment_i3Investor
2026-06-09,10.619999885559082,0.74,0.0,0.0,0.0133
2026-06-08,10.699999809265137,0.0,0.0,0.0,0.45
2026-06-05,10.800000190734863,0.0,0.0,0.0,0.3767
2026-06-04,10.600000381469728,0.0,0.0,0.0,-0.195
2026-06-03,10.420000076293944,0.0,0.0,0.0,0.335
2026-06-02,10.640000343322754,0.0,0.0,0.0,0.0
2026-05-29,10.640000343322754,0.0,0.0,0.0,-0.125
2026-05-28,10.5,0.71,0.0,0.0,-0.2
2026-05-27,10.9399995803833,0.0,0.0,0.0,0.0
2026-05-26,10.9399995803833,0.0,0.0,0.0,0.0
2026-05-25,11.0600004196167,0.0,0.0,0.0,0.0
2026-05-22,11.0,0.0,0.0,0.0,0.2
2026-05-21,11.039999961853027,0.0,0.0,0.0,0.0
2026-05-20,11.0600004196167,0.0,0.0,0.0,0.1
2026-05-19,11.079999923706056,0.0,0.0,0.0,0.0
2026-05-18,11.079999923706056,0.0,0.0,0.0,0.0
2026-05-15,11.100000381469728,0.0,0.0,0.0,0.25
2026-05-14,11.18000030517578,0.0,0.0,0.0,0.125
2026-05-13,11.18000030517578,0.0,0.0,0.0,0.2433
2026-05-12,11.239999771118164,0.0,0.0,0.0,0.0
2026-05-11,11.18000030517578,0.0,0.0,0.0,0.0
2026-05-08,11.18000030517578,0.0,0.0,0.0,0.2
2026-05-07,11.260000228881836,0.0,0.0,0.0,0.0
2026-05-06,11.220000267028809,0.0,0.0,0.0,0.4
2026-05-05,11.199999809265137,0.0,0.0,0.0,0.0
2026-05-04,11.279999732971191,0.0,0.0,0.0,0.0
2026-04-30,11.079999923706056,0.0,0.0,0.0,-0.1
2026-04-29,11.039999961853027,0.0,0.0,0.64,0.36
2026-04-28,11.220000267028809,0.0,0.0,0.0,-0.0333
2026-04-27,11.100000381469728,0.0,0.0,0.0,0.25
2026-04-24,11.15999984741211,0.0,0.0,0.0,0.0
2026-04-23,11.220000267028809,0.0,0.0,0.0,0.0
2026-04-22,11.220000267028809,0.0,0.0,0.0,0.2
2026-04-21,,0.0,0.0,0.0,0.125
2026-04-20,11.34000015258789,0.0,0.0,0.0,0.2
2026-04-17,11.100000381469728,0.0,0.0,0.0,0.0
2026-04-16,11.119999885559082,0.0,0.0,0.0,0.0
2026-04-15,11.0600004196167,0.0,0.0,0.0,0.46
2026-04-14,11.039999961853027,0.0,0.0,0.0,-0.2
2026-04-13,10.979999542236328,0.0,0.0,0.0,0.2
2026-04-10,11.15999984741211,0.0,0.74,0.0,-0.2
2026-04-09,11.15999984741211,0.0,0.2,0.0,0.0
2026-04-08,11.31999969482422,0.0,0.0,0.0,0.0667
2026-04-07,11.15999984741211,0.0,0.3,0.0,-0.35
2026-04-06,11.220000267028809,0.0,0.1,0.0,-0.2
2026-04-03,11.260000228881836,0.0,0.0,0.0,-0.35
2026-04-02,11.460000038146973,0.0,0.1,0.0,0.3667
2026-04-01,11.65999984741211,0.0,0.0,0.0,0.27
2026-03-31,11.359999656677246,0.0,0.0,0.0,0.0
2026-03-30,11.199999809265137,0.0,0.775,0.0,0.6
2026-03-27,11.460000038146973,0.0,0.7,0.0,0.0
2026-03-26,11.4399995803833,0.0,0.0,0.0,0.4
2026-03-25,11.4399995803833,0.0,0.0,0.0,0.325
2026-03-24,11.34000015258789,0.0,0.0,0.0,0.08
2026-03-20,11.600000381469728,0.0,0.66,0.0,-0.1
2026-03-19,11.600000381469728,0.0,-0.025,0.0,0.9
2026-03-18,11.739999771118164,0.0,0.0,0.0,0.2
2026-03-17,11.600000381469728,0.0,0.0,0.0,0.29
2026-03-16,11.479999542236328,0.0,0.0,0.0,-0.35
2026-03-13,11.31999969482422,0.0,0.375,0.0,-0.1
2026-03-12,11.4399995803833,0.0,0.0,0.0,0.1
2026-03-11,11.470000267028809,0.0,0.0,0.0,0.2
2026-03-10,11.33391571044922,0.0,0.0,0.0,-0.3
2026-03-09,11.139509201049805,0.0,0.0,0.0,0.2167
2026-03-06,11.431118965148926,0.0,0.4733,0.0,0.3833
2026-03-05,11.372797012329102,0.0,0.0,0.0,-0.16
2026-03-04,11.33391571044922,0.0,0.0,0.0,0.3
2026-03-03,11.508881568908691,0.0,0.0,0.0,0.0517
2026-03-02,11.392237663269045,0.0,0.0,0.0,0.1
2026-02-27,11.62552547454834,0.0,0.65,0.0,0.1791
2026-02-26,11.664406776428224,0.0,0.3675,0.0,0.0
2026-02-25,12.014338493347168,0.0,0.0,0.0,0.86
2026-02-24,12.033780097961426,0.0,0.544,0.0,0.43
2026-02-23,11.858813285827637,0.0,0.398,0.0,0.15
2026-02-20,11.878254890441896,0.0,0.0,0.0,0.0
2026-02-19,11.722729682922363,0.0,0.0,0.0,0.0
2026-02-16,11.606084823608398,0.0,0.5,0.0,-0.2
2026-02-13,11.722729682922363,0.0,0.3,0.0,0.0
2026-02-12,11.800492286682127,0.0,0.1,0.0,0.4
2026-02-11,11.917136192321776,0.0,0.55,0.0,0.15
2026-02-10,11.664406776428224,0.0,0.386,0.0,0.34
